C,NEMP.WORLD,PREDISPATCHIS,AEMO,PUBLIC,2020/03/19,12:01:14,0000000320548349,PREDISPATCHIS,0000000320548346
I,PREDISPATCH,CASE_SOLUTION,1,PREDISPATCHSEQNO,RUNNO,SOLUTIONSTATUS,SPDVERSION,NONPHYSICALLOSSES,TOTALOBJECTIVE,TOTALAREAGENVIOLATION,TOTALINTERCONNECTORVIOLATION,TOTALGENERICVIOLATION,TOTALRAMPRATEVIOLATION,TOTALUNITMWCAPACITYVIOLATION,TOTAL5MINVIOLATION,TOTALREGVIOLATION,TOTAL6SECVIOLATION,TOTAL60SECVIOLATION,TOTALASPROFILEVIOLATION,TOTALENERGYCONSTRVIOLATION,TOTALENERGYOFFERVIOLATION,LASTCHANGED,INTERVENTION
D,PREDISPATCH,CASE_SOLUTION,1,2020031917,1,18,,0,527833346.7460,0,0,0,0,179,,,,,0,0,0,"2020/03/19 12:00:48",0
I,PREDISPATCH,LOCAL_PRICE,1,PREDISPATCHSEQNO,DATETIME,DUID,PERIODID,LOCAL_PRICE_ADJUSTMENT,LOCALLY_CONSTRAINED,LASTCHANGED
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 12:30:00",AGLHAL,01,-363.74,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 13:00:00",AGLHAL,02,-155.67,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 13:30:00",AGLHAL,03,-155.81,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 14:00:00",AGLHAL,04,-155.78,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 14:30:00",AGLHAL,05,-156.38,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 15:00:00",AGLHAL,06,-155.82,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 15:30:00",AGLHAL,07,-156.38,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 16:30:00",BASTYAN,09,-69.97,1,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 17:00:00",BASTYAN,10,-68.69,1,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 17:30:00",BASTYAN,11,-68.66,1,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 18:00:00",BASTYAN,12,-69.04,1,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 18:30:00",BASTYAN,13,-69.32,1,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 19:00:00",BASTYAN,14,-68.5,1,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 19:30:00",BASTYAN,15,-62.08,1,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 20:00:00",BASTYAN,16,-73.31,1,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 20:30:00",BASTYAN,17,-63.32,1,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 12:30:00",BLUFF1,01,-466.55,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 13:00:00",BLUFF1,02,-199.68,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 13:30:00",BLUFF1,03,-199.85,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 14:00:00",BLUFF1,04,-199.81,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 14:30:00",BLUFF1,05,-200.58,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 15:00:00",BLUFF1,06,-199.86,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 15:30:00",BLUFF1,07,-200.58,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 12:30:00",BNGSF1,01,-675.83,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 13:00:00",BNGSF1,02,-289.24,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 13:30:00",BNGSF1,03,-289.5,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 14:00:00",BNGSF1,04,-289.44,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 14:30:00",BNGSF1,05,-290.56,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 15:00:00",BNGSF1,06,-289.51,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 15:30:00",BNGSF1,07,-290.55,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 12:30:00",BNGSF2,01,-675.83,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 13:00:00",BNGSF2,02,-289.24,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 13:30:00",BNGSF2,03,-289.5,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 14:00:00",BNGSF2,04,-289.44,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 14:30:00",BNGSF2,05,-290.56,2,"2020/03/19 12:00:48"
